Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	29	4.931972789115646	9.422559372647208E-8	ALS2, CPLX2, CPLX1, SRCIN1, FKBP4, ADORA1, ATP2B2, SEZ6L2, PVALB, PTK2B, TIAM1, PDE1A, KNDC1, TUBB4A, DAB2IP, KCND1, BAIAP2, SPTBN4, SLC12A5, RTN4R, ASIC2, GDPD5, IGSF9B, PPP1R9B, MAP1S, SPTBN2, FBXO31, APBB1, SEZ6	516	315	18224	3.2514827119478285	3.9385524422175244E-5	5.626598463814858E-6	1.3226797109799904E-4
GOTERM_CC_DIRECT	GO:0030425~dendrite	30	5.1020408163265305	9.934836956993251E-8	ALS2, KCNC1, CPLX2, KCNC3, CPLX1, SRCIN1, GABBR1, GNG13, GRIK5, TRIM3, SYN1, PTK2B, MAPT, LMTK3, KNDC1, NPFF, KCND3, DAB2IP, KCND1, MINK1, BSN, PRKCG, GRIA4, IGSF9B, KCNK1, GRM1, AMIGO1, PPP1R9B, MAP1S, MAPK8IP3	516	335	18224	3.1627906976744184	4.1526758267185215E-5	5.190939092902802E-6	1.3945899733913691E-4
GOTERM_CC_DIRECT	GO:0042734~presynaptic membrane	13	2.2108843537414966	1.3637701536364787E-7	KCNC3, NRXN2, GRIK5, GABBR1, NLGN2, ADORA1, RIMS1, SYP, GRM4, ADGRL1, UNC13C, APBB1, UNC13A	516	62	18224	7.405351337834459	5.7003971514202334E-5	6.33393508520097E-6	1.914374369693661E-4
GOTERM_CC_DIRECT	GO:0045202~synapse	21	3.571428571428571	2.1264525948979134E-7	GABRD, NMNAT2, PPFIA4, ACHE, SRCIN1, SNCB, GABRA6, NLGN2, ASIC1, KCNK1, SHISA6, CBLN3, ATP2B2, SHISA8, PRRT2, MAP1S, CYFIP2, DLG4, VAMP2, ADGRL1, APBB1	516	181	18224	4.097648721572659	8.888177770727257E-5	8.888533289397316E-6	2.9849783059754387E-4
GOTERM_BP_DIRECT	GO:0014047~glutamate secretion	9	1.530612244897959	8.278688579139883E-7	SLC17A7, RAB3A, PPFIA3, PPFIA4, CPLX1, SLC1A6, STXBP1, VAMP2, RIMS1	484	28	16792	11.151711924439198	0.0015072406536275063	3.01630037207512E-4	0.0014078682958440503
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	164	27.89115646258503	1.0788905748720383E-6	SLC22A17, KCNC1, CADM3, KCNC4, ADCY1, KCNC3, ATP1B2, SYT2, SYT3, TSPAN5, GRIK5, SYT9, L1CAM, FLCN, ADORA1, RELL2, CDH22, ATP2B2, SEZ6L2, DIRAS1, ANK1, PRRT2, GRIN2C, HOMER3, TIAM1, VPS4A, DNAJC5, SLC4A5, SCAMP5, DAB2IP, CRTAM, KCND3, KCND1, MADD, MDGA1, BAIAP2, TTC7B, PTPRR, SOCS7, TMEM25, CRHR1, ARRB1, CLIP3, VAMP2, UNC13C, ADD2, NCR3LG1, GLG1, ARFGAP2, ACHE, SCN1B, ARHGEF25, PANX2, RUNDC3A, NKAIN4, RIMS1, KCNJ3, AMER3, PLCH2, TTYH1, LRFN1, ENTPD6, CDC42EP4, GABRD, PARD6A, MLC1, TBC1D10B, GABRA6, SYT12, SPTBN4, KCNK1, RNF103-CHMP3, ANKH, SHANK3, NMT2, NMT1, KCNJ9, CACNA1G, TNK2, CACNA1F, RIT2, GPR83, GPR162, CLTB, BCAR1, GABBR1, PPIP5K1, MTSS1L, MCF2L, PCDHGA1, ST6GALNAC6, AP2B1, NISCH, MGRN1, DYNLL2, SLC1A6, MAPT, DLG4, CALN1, SV2A, KCNQ2, CDK16, DPP6, TRPM3, ADAM11, GPR176, ZP2, NRXN2, MICAL3, STXBP1, PRKCG, CACNG2, GRM1, STX1B, GPR37L1, GRM4, MAST1, CD99L2, GNB5, SEZ6, MAP3K12, EPN1, PLPP4, RAB3A, PRKCZ, PTOV1, ABTB1, GNG13, RHBG, DISP2, STUB1, TPCN1, RGS11, TSPYL2, FAT2, ENO2, APBA2, CAMK2B, EHD1, INPP5A, DGKQ, SLC8A2, NF2, COL13A1, SLC12A5, ASIC2, RTN4R, TMEM266, GRIA4, ASIC1, SLC17A7, PPP1R9B, GBA2, AP2A2, CDH15, TENM1, JMJD6, SLC6A8, CDH18, ATP6V0A1, DGKZ, ADGRL1, APBB1, DNM1	516	4121	18224	1.4055142031079233	4.508748289582254E-4	4.099702356052948E-5	0.0015144691129065357
GOTERM_CC_DIRECT	GO:0030672~synaptic vesicle membrane	11	1.870748299319728	2.777766032545257E-6	SLC17A7, SVOP, SYN1, SYT2, SYT12, SYT9, SV2A, VAMP2, SLC6A17, SYNGR1, SCAMP5	516	55	18224	7.063565891472868	0.0011604339893804827	9.675430352029668E-5	0.0038991853011483
GOTERM_BP_DIRECT	GO:0006887~exocytosis	13	2.2108843537414966	4.246382872482516E-6	ANK1, CPLX1, SRCIN1, ARHGAP44, MICAL3, BRSK2, SCRN1, DNAJC5, VAMP2, CDK16, UNC13C, RIMS1, SCAMP5	484	83	16792	5.434033655282286	0.0077070730481442196	0.001288656638110397	0.007221173022464722
GOTERM_BP_DIRECT	GO:0060079~excitatory postsynaptic potential	8	1.3605442176870748	1.0927880579649084E-5	SLC17A7, GRIN2C, MECP2, GRIK5, NPAS4, ADORA1, SEZ6, NPFF	484	28	16792	9.912632821723731	0.019713798108479064	0.0028403453086284225	0.01858237925754791
GOTERM_BP_DIRECT	GO:2000463~positive regulation of excitatory postsynaptic potential	7	1.1904761904761905	1.5095447587247505E-5	PRKCZ, PTK2B, DLG4, NLGN2, STX1B, RIMS1, SHANK3	484	20	16792	12.14297520661157	0.027129318967197613	0.003432110933679011	0.025668287150293345
GOTERM_CC_DIRECT	GO:0043197~dendritic spine	13	2.2108843537414966	2.506859203205582E-5	ALS2, SLC8A2, BAIAP2, ASIC2, ADORA1, SHANK3, PPP1R9B, ARHGAP44, ARRB1, TIAM1, DLG4, SEZ6, APBB1	516	100	18224	4.591317829457364	0.010424091430204396	8.057369744466358E-4	0.03518398685220525
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	12	2.0408163265306123	3.70138707936908E-5	AMIGO1, KCNC1, KCND3, KCNC4, KCNC3, KCND1, DLG4, VAMP2, KCNK1, KCNQ2, DPP6, KCNJ3	516	88	18224	4.8160676532769555	0.015353006555714477	0.0011045384289043447	0.05194524462254213
GOTERM_BP_DIRECT	GO:0016188~synaptic vesicle maturation	5	0.8503401360544218	4.316864047267058E-5	SYP, RAB3A, DLG4, STXBP1, UNC13A	484	8	16792	21.683884297520663	0.07564119042525441	0.008701362174991067	0.07338743327580666
GOTERM_BP_DIRECT	GO:0007416~synapse assembly	10	1.7006802721088436	5.741723204847419E-5	ACHE, NRXN2, CLSTN3, NRXN3, SPOCK2, SPTBN2, MECP2, BSN, NLGN2, SHANK3	484	61	16792	5.687576209185747	0.0993307674257512	0.010407186567603977	0.09759915575844325
GOTERM_BP_DIRECT	GO:0051965~positive regulation of synapse assembly	10	1.7006802721088436	6.54812909004608E-5	AMIGO1, NTRK3, CBLN1, CLSTN3, NRXN3, CLSTN1, MECP2, ASIC2, NLGN2, ADGRL1	484	62	16792	5.59584110903759	0.11246810333703228	0.010787827521701376	0.11129944959255011
GOTERM_BP_DIRECT	GO:0090129~positive regulation of synapse maturation	5	0.8503401360544218	1.2368549306639084E-4	DAB2IP, NRXN3, NEUROD2, CAMK2B, ADGRL1	484	10	16792	17.34710743801653	0.20177830440482136	0.01860548291685682	0.21013204572144506
GOTERM_BP_DIRECT	GO:0007399~nervous system development	21	3.571428571428571	2.5381030216209454E-4	DPF3, ACHE, CPLX2, SCN2B, L1CAM, ELAVL3, IGSF9B, GAS7, ADORA1, ARHGAP26, DCTN1, CBLN1, TRIM3, SRRM4, MAP1S, TENM1, NAB2, NEUROD2, DLG4, APBA2, KCNQ2	484	287	16792	2.538601088490224	0.37029326425375686	0.03495158231764306	0.4307553401100783
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	12	2.0408163265306123	3.534884775814864E-4	KCND3, KCNC4, KCNC3, KCNJ9, KCND1, CACNA1G, ASIC2, CACNA1F, KCNQ2, KCNK12, KCNJ3, TPCN1	484	111	16792	3.7507259325441145	0.4749017369420834	0.044969625547910175	0.5994465268420734
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	14	2.380952380952381	4.5447641395129885E-4	VPS18, CLTB, MLC1, SPTBN4, STX1B, C15ORF38-AP3S2, AP2B1, AP2A2, TSC2, SPTBN2, AP3B2, VPS4A, MAPK8IP3, VAMP2	484	152	16792	3.195519791213571	0.5631844473128671	0.053719538823872925	0.7700799552465054
GOTERM_BP_DIRECT	GO:0007409~axonogenesis	11	1.870748299319728	5.147031708252518E-4	AMIGO1, ALS2, RAB3A, ADCY1, BAIAP2, SPTBN4, LRFN1, RTN4R, BRSK2, BRSK1, APBB1	484	98	16792	3.894248608534323	0.6086021047869035	0.05694145320878852	0.8717103213876976
GOTERM_BP_DIRECT	GO:0060291~long-term synaptic potentiation	7	1.1904761904761905	6.932681825898388E-4	PRKCZ, SLC8A2, PTK2B, SYT12, MECP2, VAMP2, SHANK3	484	38	16792	6.391039582427142	0.7173575694946632	0.07163267903819681	1.1724564802005788
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	31	5.272108843537415	9.703996846926902E-4	ALS2, ARFGAP2, ARHGEF25, RASGEF1C, FLCN, NPRL2, MCF2L, GARNL3, RGS11, GRIN2C, ARHGAP44, DLG4, CAMK2B, IQSEC3, CDC42EP4, AGAP2, KNDC1, DAB2IP, BCR, MADD, SRGAP2C, SPTBN4, RTN4R, ARHGAP26, ACAP3, ARRB1, TSC2, SRGAP3, SPTBN2, GNB5, SPTAN1	484	565	16792	1.9035763914283623	0.8294840856504424	0.09359921447770159	1.6375120238627194
GOTERM_BP_DIRECT	GO:0035725~sodium ion transmembrane transport	9	1.530612244897959	0.0011546059228464986	SLC17A7, SCN1B, SLC8A2, SCN2B, SLC6A8, ASIC2, ASIC1, KCNK1, SLC4A5	484	73	16792	4.277368957319144	0.8781430416500883	0.10486846025074326	1.945488892911229
GOTERM_BP_DIRECT	GO:0007420~brain development	15	2.5510204081632653	0.0012250355023098976	POU6F1, BCR, CA10, MDGA1, EOMES, ROGDI, SLC6A17, ZIC1, CKB, SLC17A7, CDH22, PITPNM1, HES5, NDRG4, MAP1S	484	190	16792	2.7390169638973467	0.8928347187124076	0.10565989684606047	2.0630010254043096
GOTERM_MF_DIRECT	GO:0017075~syntaxin-1 binding	5	0.8503401360544218	0.0014719142467453758	CPLX2, CPLX1, STXBP1, VAMP2, UNC13A	484	18	16881	9.6883608815427	0.6256222822267388	0.6256222822267388	2.1828346476025495
GOTERM_BP_DIRECT	GO:1903861~positive regulation of dendrite extension	5	0.8503401360544218	0.001500814008107479	CPNE9, SYT2, SYT3, RIMS1, UNC13A	484	18	16792	9.637281910009184	0.9352056683159989	0.1221778715189692	2.521864504743254
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	12	2.0408163265306123	0.001509726523929213	SNCB, PTK2B, BARHL1, MECP2, STXBP1, PRKCG, DNAJC5, EN2, AMBRA1, AGAP2, FAIM2, OXR1	484	132	16792	3.1540195341848234	0.9362509015896635	0.11761541758663296	2.5366600900242675
GOTERM_BP_DIRECT	GO:0061337~cardiac conduction	7	1.1904761904761905	0.0017265529109189647	KCND3, SCN1B, KCND1, SPTBN4, CACNA1F, CACNG2, KCNK1	484	45	16792	5.3968778696051425	0.9570834699272031	0.1279349215082487	2.895961029416705
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	9	1.530612244897959	0.001777992490497932	PDK2, PRKCZ, ATP6V0E2, SOGA1, BAIAP2, BCAR1, SOCS7, ATP6V0A1, PIK3R3	484	78	16792	4.003178639542276	0.9609294245478347	0.12637093285991696	2.9810179115085766
GOTERM_BP_DIRECT	GO:0072583~clathrin-mediated endocytosis	5	0.8503401360544218	0.002270519227418244	AP2A2, AP2B1, CLTB, PIP5K1C, DNM1	484	20	16792	8.673553719008265	0.9841024392428896	0.15266875773043687	3.7918831508286677
GOTERM_BP_DIRECT	GO:0031630~regulation of synaptic vesicle fusion to presynaptic membrane	3	0.5102040816326531	0.0024297509465328188	RAB3A, GRIK5, STXBP1	484	3	16792	34.69421487603306	0.9881139901539242	0.1567372305884257	4.052664931164218
GOTERM_BP_DIRECT	GO:0035249~synaptic transmission, glutamatergic	5	0.8503401360544218	0.0027417240738294695	SLC17A7, ALS2, CLSTN3, GRIK5, UNC13A	484	21	16792	8.260527351436442	0.9932774103804346	0.16911983286075782	4.561671467186724
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	18	3.061224489795918	0.0028689470123856595	ARFGAP2, DAB2IP, BCR, TBC1D10B, SRGAP2C, NPRL2, ARHGAP26, GARNL3, RGS11, SGSM1, ACAP3, ARHGAP44, ARRB1, TSC2, SRGAP3, GNB5, CDC42EP4, AGAP2	484	279	16881	2.250199946680885	0.85285516564436	0.616405377572052	4.213415550700561
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	31	5.272108843537415	0.003172286732336076	PTOV1, PRKCZ, ACHE, PTGES2, APC2, FKBP4, TRAPPC2L, BRSK2, VPS53, CTIF, ATN1, PTK2B, PDE4A, VPS4A, CALN1, EHD1, MLC1, NOS1AP, NF2, PTPRR, PRKCG, AMBRA1, EIF4E, MAP1S, TENM1, TSC2, CYFIP2, VAMP2, MAPRE3, APBB1, SEZ6	516	621	18224	1.7630478473080429	0.7350259981550524	0.0847349384810252	4.362136050180876
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	23	3.9115646258503403	0.003231664612565804	PRKCZ, ADCY1, FKBP8, DGKQ, BCR, MINK1, SOCS7, PRKCG, BRSK1, MCF2L, SH3BP5L, RGS11, MAST1, RPS6KA4, PLCH2, DEF8, DGKZ, RIT2, PLA2G4C, UNC13C, UNC13A, MAP3K12, ASB6	484	403	16792	1.9800668539671473	0.9972540485235256	0.18992590375816265	5.355917764006202
GOTERM_MF_DIRECT	GO:0005251~delayed rectifier potassium channel activity	6	1.0204081632653061	0.003404247571030946	KCNC1, KCND3, KCNC4, KCNC3, KCND1, KCNQ2	484	36	16881	5.81301652892562	0.8971523819260062	0.5314764636027207	4.980994350557088
GOTERM_BP_DIRECT	GO:0010976~positive regulation of neuron projection development	9	1.530612244897959	0.004074933401946817	DAB2IP, SCN1B, PPP2R5B, NDRG4, PTK2B, CAMK2B, RIT2, NCKIPSD, APBB1	484	89	16792	3.508403751508961	0.9994125368922483	0.22627694510021745	6.7083972422157245
GOTERM_CC_DIRECT	GO:0030424~axon	15	2.5510204081632653	0.004383519764728276	ALS2, RAB3A, DAB2IP, KCNC3, SRCIN1, MINK1, BSN, GDPD5, AMIGO1, PTK2B, MAPT, LMTK3, ADGRL1, UNC13A, MAP3K12	516	222	18224	2.3863398282002932	0.8406000813209464	0.10842987831199757	5.98053932165421
GOTERM_CC_DIRECT	GO:0060203~clathrin-sculpted glutamate transport vesicle membrane	3	0.5102040816326531	0.004604902965573196	SLC17A7, RAB3A, VAMP2	516	4	18224	26.488372093023255	0.8547494308411946	0.10728503671207856	6.2735793989063815
GOTERM_BP_DIRECT	GO:0048791~calcium ion-regulated exocytosis of neurotransmitter	6	1.0204081632653061	0.004956111884871702	SYT2, SYT12, SYT3, SYT9, RIMS1, RIMS4	484	39	16792	5.3375715193897015	0.9998829005517575	0.26047675700880535	8.10222992748968
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	9	1.530612244897959	0.004985934828850675	AP2A2, AP2B1, DYNLL2, ACTR1B, SPTBN2, KLC2, DCTN1, DCTN2, CTSF	484	92	16792	3.39399928135106	0.9998891237524018	0.2545575065418245	8.149058664205633
GOTERM_BP_DIRECT	GO:0035418~protein localization to synapse	4	0.6802721088435374	0.005454466638919463	DLG4, ASIC2, BSN, NLGN2	484	13	16792	10.675143038779403	0.999952994245436	0.26758923383316513	8.88181736502669
GOTERM_CC_DIRECT	GO:0030117~membrane coat	5	0.8503401360544218	0.005750767832748806	C15ORF38-AP3S2, AP2A2, AP2B1, AP3B2, DNM1	516	26	18224	6.791890280262374	0.9102528921105093	0.12534965833151446	7.776824706731878
GOTERM_BP_DIRECT	GO:0007612~learning	7	1.1904761904761905	0.005762290705506173	PPP1R9B, SLC8A2, NRXN3, SLC12A5, DLG4, NPAS4, SHANK3	484	57	16792	4.260693054951428	0.999973257572542	0.2731742115595204	9.360239076763454
GOTERM_BP_DIRECT	GO:0006836~neurotransmitter transport	5	0.8503401360544218	0.00611499317312099	SLC17A7, CPLX2, CPLX1, SLC6A8, SLC6A17	484	26	16792	6.671964399237126	0.9999859897622184	0.28013941129182685	9.905504344621875
GOTERM_MF_DIRECT	GO:0005249~voltage-gated potassium channel activity	7	1.1904761904761905	0.006119569420993967	KCNC1, KCND3, KCNC4, KCNC3, KCND1, KCNK1, KCNQ2	484	58	16881	4.2094257623254485	0.9833324785465171	0.6406912811992479	8.78692424394034
GOTERM_MF_DIRECT	GO:0008022~protein C-terminus binding	13	2.2108843537414966	0.006242314855480239	RAB3A, CTBP1, HPCAL4, BAIAP2, SHANK3, ATP2B2, TRIM3, HOMER3, DLG4, VPS4A, DGKZ, TERF2, DNM1	484	182	16881	2.49129279811098	0.984650519814809	0.5662707267754326	8.955562269743211
GOTERM_BP_DIRECT	GO:0071625~vocalization behavior	4	0.6802721088435374	0.006795346331748109	NRXN2, NRXN3, DLG4, SHANK3	484	14	16792	9.912632821723731	0.999995976585223	0.2987940930896026	10.948595552422514
GOTERM_CC_DIRECT	GO:0005829~cytosol	117	19.897959183673468	0.006810129112945172	ALS2, THRA, PPP2R5B, RUSC2, RPL15, TRAPPC2L, VPS53, VPS51, ANK1, HOMER3, TIAM1, PDE4A, VPS4A, PELI3, GTPBP1, DAB2IP, BCR, PDXK, MADD, BAIAP2, TTC7B, MECP2, DCTN1, DCTN2, SGSM1, ARRB1, CLIP3, VAMP2, VPS26B, ADD2, ARFGAP2, ARHGEF25, ALDOC, RUNDC3A, RIMS1, TPI1, NDRG4, UNKL, TUBB4A, PARD6A, SMG6, TBC1D10B, SPTBN4, SMG7, WIPI2, CAMK2N2, RNF103-CHMP3, TRIM62, NMT2, NMT1, URM1, EIF4E, TSC2, CYFIP2, SPTBN2, FBXO31, DNAJB2, PLA2G4C, PTGES2, BCAR1, PPIP5K1, PIP5K1C, MCF2L, CKB, AP2B1, MSRA, NISCH, MGRN1, MAP1LC3A, PCBP3, DYNLL2, PCBP4, MAPT, ACTR1B, NCKIPSD, IP6K1, NOS1AP, STXBP1, MINK1, PRKCG, STX1B, ARHGAP26, ELMO2, KHSRP, SRGAP3, GNB5, INPP4A, MAP3K12, PPFIA3, PRKCZ, RAB3A, PPFIA4, CPLX2, CPLX1, FKBP4, KLC2, STUB1, TPM3, TNRC6C, SYN1, PTK2B, ARHGAP44, PDE1A, WIPF2, ENO2, CAMK2B, UCK1, PIK3R3, DGKQ, POLR3A, AMBRA1, AP2A2, MAP1S, JMJD6, POLDIP3, RNF41, SPTAN1	516	3315	18224	1.2465116279069766	0.9425230438764951	0.13958059207308104	9.146636717605116
GOTERM_CC_DIRECT	GO:0044300~cerebellar mossy fiber	3	0.5102040816326531	0.007531471325143441	SLC17A7, DAB2IP, DLG4	516	5	18224	21.190697674418605	0.9575772284525698	0.14615320633462392	10.068531020394733
GOTERM_CC_DIRECT	GO:0032281~AMPA glutamate receptor complex	5	0.8503401360544218	0.007534087769889023	SHISA6, SHISA8, DLG4, GRIA4, CACNG2	516	28	18224	6.306755260243632	0.9576239515307826	0.13974979724952674	10.071859034231478
GOTERM_MF_DIRECT	GO:0052723~inositol hexakisphosphate 1-kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0097109~neuroligin family protein binding	3	0.5102040816326531	0.007714243226344116	NRXN2, NRXN3, DLG4	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0000832~inositol hexakisphosphate 5-kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0000827~inositol-1,3,4,5,6-pentakisphosphate kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0000828~inositol hexakisphosphate kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0052724~inositol hexakisphosphate 3-kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_MF_DIRECT	GO:0000829~inositol heptakisphosphate kinase activity	3	0.5102040816326531	0.007714243226344116	PPIP5K1, IP6K1, IP6K2	484	5	16881	20.92685950413223	0.9942889325419797	0.5772150216414992	10.955285426995864
GOTERM_BP_DIRECT	GO:0034220~ion transmembrane transport	14	2.380952380952381	0.007966739610300172	ATP2B2, ATP6V0E2, ATP1B2, GABRA6, TTYH1, GRIK5, DLG4, ASIC2, SFXN3, ATP6V0A1, GRIA4, ASIC1, TPCN1, SFXN5	484	210	16792	2.3129476584022037	0.9999995314058118	0.3329032839719931	12.717945463503566
GOTERM_BP_DIRECT	GO:0007616~long-term memory	5	0.8503401360544218	0.008005155321804368	SLC17A7, PRKCZ, ADCY1, MECP2, NPAS4	484	28	16792	6.195395513577332	0.9999995633289203	0.32684933077417677	12.775406887153096
GOTERM_BP_DIRECT	GO:0046928~regulation of neurotransmitter secretion	4	0.6802721088435374	0.00831495137643198	KCNC4, SYN1, SYT12, RIMS1	484	15	16792	9.251790633608815	0.999999752827124	0.32991237081979097	13.237493813936773
GOTERM_MF_DIRECT	GO:0050839~cell adhesion molecule binding	7	1.1904761904761905	0.008449985528460966	CADM3, CRTAM, NRXN2, NRXN3, TENM1, NLGN2, ADGRL1	484	62	16881	3.937849906691549	0.9965177895496995	0.5545115685603608	11.939408228116644
GOTERM_BP_DIRECT	GO:0001662~behavioral fear response	5	0.8503401360544218	0.009079023580640045	DEAF1, ALS2, EIF4E, MECP2, NEUROD2	484	29	16792	5.981761185522942	0.9999999393126833	0.34694278919740795	14.367342335610523
